http://www.milenio.com/politica/denunciaran_a_gobierno_estado-desvio_recursos_fines_electorales-registro_ivonne_0_446355564.html 	Campaña 	Ivonne Álvarez 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.vanguardia.com.mx/denuncian_abuso_policiaco_contra_homosexuales_de_nuevo_leon-1485423.html 	Policías 	Adrián de la Garza 	Delincuencia, faltas e irregularidades 	Show 	Edit 	Destroy
http://www.animalpolitico.com/2012/03/los-puntos-para-entender-la-sentencia-contra-la-alcaldesa-de-guadalupe/ 	Críticos 	Ivonne Álvarez 	Disciplina 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?Id=439759&v=4&Fuente=MD 	Campaña 	Ivonne Álvarez 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.excelsior.com.mx/nacional/2013/10/23/925021 	Miguel Ángel Treviño Sandoval 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://reporteindigo.com/reporte/monterrey/exhibir-politico-le-cuesta-la-carcel 	Juan Pablo Hinojosa Canales 	Felipe de Jesús Cantú 	--- 	Show 	Edit 	Destroy
http://www.adnpolitico.com/2012/2012/09/03/calderon-buen-presidente-y-mal-panista-exdiputados-del-pan 	Josefina Vázquez Mota 	Felipe de Jesús Cantú 	--- 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	Daniel Tamez Alcalá 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	Manuel García Mancillas 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	Alejandro Miller González 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	David Garza 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.sinembargo.mx/21-05-2013/620813 	Juan José Rojas Cardona 	Iván Garza 	trabajo 	Show 	Edit 	Destroy

New Relation
